"name","birthDate","birthPlace","height","weight","startYear","endYear","leagues","positions","teams","awards"
"Asi Taulava",1973-03-02,"Nukuʻalofa",2.0574,111132.0,1997-01-01,,"Philippine Basketball Association","Center (basketball)","NLEX Road Warriors","2001 PBA All-Star Weekend, 2003 PBA All-Star Weekend, 2006 PBA All-Star Weekend, 2015 PBA All-Star Weekend, ASEAN Basketball League, Bogs Adornado PBA Comeback Player of the Year Award, List of Philippine Basketball Association career rebounding leaders, PBA All-Defensive Team, PBA All-Star Game Most Valuable Player Award, PBA Best Player of the Conference Award, PBA Finals Most Valuable Player Award, PBA Mythical Team, Philippine Basketball Association, Philippine Basketball Association All-Star Game"
"Salah Mejri",1986-06-15,"Oued Melliz",2.1844,106596.0,2006-01-01,,"Kuwaiti Division I Basketball League","Center (basketball)","Al-Jahra SC (basketball)","2014 Supercopa de España de Baloncesto, 2015 Copa del Rey de Baloncesto, 2020 Copa del Rey de Baloncesto, ACB Best Young Player Award, AfroBasket, Copa del Rey de Baloncesto, Liga ACB, Rosters of the champion and finalist teams of EuroLeague, Supercopa de España de Baloncesto"
"Dušan Beslać",1998-10-06,"Serbia and Montenegro",2.0828,103000.0,2015-01-01,,"Basketball League of Serbia","Power forward (basketball)","KK Vojvodina","Basketball Cup of Serbia"
"Đorđe Kaplanović",1995-03-21,"Serbia and Montenegro",2.0828,102000.0,2013-01-01,,"Macedonian First League (basketball)","Center (basketball)","KK Kumanovo","ABA League"
"Alen Omić",1992-05-06,"Tuzla",1.9304,111000.0,2009-01-01,,"Premier A Slovenian Basketball League","Center (basketball)","KK Cedevita Olimpija","Slovenian Basketball Cup"
"Erikas Venskus",2000-05-28,"Biržai",2.1082,100000.0,2014-01-01,,"Lietuvos krepšinio lyga","Power forward (basketball)","BC Prienai","2019–20 LKL season, Lietuvos krepšinio lyga"
"Dragan Apić",1995-10-03,"Republic of Serbia (1992–2006)",2.032,105000.0,2012-01-01,,"Polish Basketball League","Power forward (basketball)","Zastal Zielona Góra","ABA League Top Scorer, Prva A Liga"
"Dušan Tanasković",2001-02-23,"Smederevska Palanka",1.9812,103000.0,2018-01-01,,"Basketball League of Serbia","Center (basketball)","KK Dunav Stari Banovci","Radivoj Korać Cup"
"Predrag Samardžiski",1986-04-11,"Socialist Republic of Macedonia",2.0574,124740.0,2004-01-01,,"Macedonian First League (basketball)","Center (basketball)","KK EuroNickel 2005","Basketball League of Serbia, Basketbol Süper Ligi, Radivoj Korać Cup"
"Dušan Beslać",1998-10-06,"Sombor",2.0828,103000.0,2015-01-01,,"Basketball League of Serbia","Power forward (basketball)","KK Vojvodina","Basketball Cup of Serbia"
"Mouhammadou Jaiteh",1994-11-27,"Pantin",2.0574,112000.0,2010-01-01,,"Lega Basket","Power forward (basketball)","Virtus Bologna","FIBA EuroChallenge, Italian Basketball Supercup, LNB Pro B"
"Quatarrius Wilson",1996-06-26,"Mobile, Alabama",2.0574,97000.0,2020-01-01,,"ProA","Power forward (basketball)","Panthers Schwenningen","Basketball Cup (Netherlands)"
"Mostafa Kejo",1994-10-22,"Cairo",2.0574,88452.0,2012-01-01,,"Basketball Africa League, Egyptian Basketball Super League","Center (basketball)","Zamalek SC (basketball)","2020–21 Egyptian Basketball Super League, Basketball Africa League, Egyptian Basketball Super League"
"Aleksandar Bursać",1995-03-19,"Serbia and Montenegro",2.0574,88452.0,2012-01-01,,"ABA League","Power forward (basketball)","KK Zadar","Krešimir Ćosić Cup"
"Aleksandar Bursać",1995-03-19,"Ruma",2.0574,108864.0,2012-01-01,,"HT Premijer liga","Power forward (basketball)","KK Zadar","Krešimir Ćosić Cup"
"Domagoj Vuković",1993-10-29,"Rijeka",2.032,108864.0,2011-01-01,,"ABA League","Power forward (basketball)","KK Zadar","Krešimir Ćosić Cup"
"Moussa Diabaté",2002-01-21,"Paris",2.1082,95256.0,,,"Big Ten Conference","Power forward (basketball)","Michigan Wolverines men's basketball","Jordan Brand Classic, McDonald's All-American Game"
"Alex Pérez (basketball)",1993-07-01,"San Diego",1.905,86184.0,2013-01-01,,"Basketbol Süper Ligi, EuroCup Basketball","Point guard","Türk Telekom B.K.","Basketball Champions League, Latvian-Estonian Basketball League"
"Will Clyburn",1990-05-17,"Detroit",2.0066,95256.0,2013-01-01,,"EuroLeague, VTB United League","Small forward","PBC CSKA Moscow","2018–19 VTB United League, All-EuroLeague Team, BBL All-Star Game, Basketbol Süper Ligi, Big 12 Conference men's basketball, EuroLeague, EuroLeague Final Four MVP, Israeli Basketball Premier League, Israeli Basketball Premier League Statistical Leaders, Mountain West Conference, VTB United League, VTB United League Supercup MVP"
"Will Sheehey",1992-01-16,"Stuart, Florida",2.0066,90720.0,2014-01-01,,"Liga Portuguesa de Basquetebol","Small forward","FC Porto (basketball)","Big Ten Conference, List of NBA G League champions"
"B. J. Johnson (basketball)",1995-12-21,"Philadelphia",2.0066,90720.0,2018-01-01,,"NBA G League","Small forward","Lakeland Magic","All-NBA G League Team, Atlantic 10 Conference"
"Erten Gazi",1997-06-15,"Nicosia",1.905,92988.0,2013-01-01,,"Basketbol Süper Ligi, EuroLeague","Point guard, Shooting guard","Anadolu Efes S.K.","Basketbol Süper Ligi, Big East Conference, Turkish Basketball Cup"
"Al Stewart (basketball)",1983-09-05,"Chicago",1.778,81648.0,2007-01-01,,"National Basketball League of Canada","Point guard","Moncton Magic","All-NBL Canada Team, List of NBL Canada All-Stars, Premier Basketball League"
"Sava Lešić",1988-02-23,"Socialist Federal Republic of Yugoslavia",2.0574,101153.0,2007-01-01,,"ABA League, Basketball League of Serbia","Power forward (basketball)","KK Borac Čačak","ABA League, Basketball League of Serbia, Mirza Delibašić Cup, Radivoj Korać Cup"
"Muhamed Pašalić",1987-08-27,"Socialist Republic of Bosnia and Herzegovina",1.9304,84369.6,2005-01-01,,"BNXT League","Point guard, Shooting guard","Belfius Mons-Hainaut","Liga Națională (men's basketball)"
"Al Stewart (basketball)",1983-09-05,"Illinois",1.778,81648.0,2007-01-01,,"National Basketball League of Canada","Point guard","Moncton Magic","All-NBL Canada Team, List of NBL Canada All-Stars, Premier Basketball League"
"Awudu Abass",1993-01-27,"Como",,100000.0,2010-01-01,,"EuroCup Basketball, Lega Basket","Small forward","Virtus Bologna","2016 Italian Basketball Supercup, 2020–21 LBA season, 2021 Italian Basketball Supercup, Italian Basketball Supercup"
"Awudu Abass",1993-01-27,"Como",,100000.0,2010-01-01,,"EuroCup Basketball","Small forward","Virtus Bologna","2016 Italian Basketball Supercup, 2017 Italian Basketball Supercup, 2021 Italian Basketball Supercup, Lega Basket"
"Abdusalam Abdurixit",1996-05-20,"Xinjiang",,85000.0,2015-01-01,,"Chinese Basketball Association","Small forward","Xinjiang Flying Tigers","2018–19 Chinese Basketball Association season, Chinese Basketball Association, FIBA Asia Champions Cup"
"Alexey Shved",1988-12-16,"Russian Soviet Federative Socialist Republic",,86000.0,2006-01-01,,"EuroLeague, VTB United League","Point guard","PBC CSKA Moscow","2010–11 PBL season, 2011–12 PBL season, 2011–12 VTB United League, 2018–19 VTB United League, All-EuroLeague Team, EuroLeague, List of VTB United League season scoring leaders, Russian Professional Basketball Championship, Russian Professional Basketball League Awards, VTB United League, VTB United League MVP, VTB United League Supercup"
"Alexey Shved",1988-12-16,"Russian Soviet Federative Socialist Republic",,86000.0,2006-01-01,,"EuroLeague, VTB United League","Point guard, Shooting guard","PBC CSKA Moscow","2010–11 PBL season, 2011–12 PBL season, 2011–12 VTB United League, 2018–19 VTB United League, Alphonso Ford EuroLeague Top Scorer Trophy, EuroCup Basketball All-EuroCup Team, EuroCup Basketball MVP, EuroCup Basketball Top Scorer, EuroLeague, List of VTB United League season scoring leaders, Russian Gold Basket Awards, Russian Professional Basketball Championship, Russian Professional Basketball League Awards, VTB United League, VTB United League Supercup"
"Alexey Shved",1988-12-16,"Russian Soviet Federative Socialist Republic",,86000.0,2006-01-01,,"VTB United League","Point guard","PBC CSKA Moscow","Alphonso Ford EuroLeague Top Scorer Trophy, EuroCup Basketball All-EuroCup Team, EuroCup Basketball MVP, EuroCup Basketball Top Scorer"
"Saulius Kulvietis",1991-02-14,"Lithuania",,90000.0,2008-01-01,,"Basketball Bundesliga","Power forward (basketball), Small forward","Telekom Baskets Bonn","LNB Pro A Leaders Cup"
"Aleksa Popović",1987-07-31,"Socialist Republic of Montenegro",,95000.0,2004-01-01,,"Basketball Championship of Bosnia and Herzegovina","Small forward","KK Bosna Royal","Montenegrin Basketball Cup"
"Sead Šehović",1989-08-22,"Socialist Republic of Montenegro",,95000.0,2006-01-01,,"ABA League, Prva A Liga","Shooting guard, Small forward","KK Mornar Bar","2016–17 Prva A liga, Montenegrin Basketball Cup, Prva A Liga"
"Aaron Doornekamp",1985-12-05,"Greater Napanee",,96000.0,2009-01-01,,"Liga ACB","Small forward","CB 1939 Canarias","Basketball Champions League, Basketball Champions League Star Lineup, Supercopa de España de Baloncesto"
"Saša Čađo",1989-07-13,"Sarajevo",1.778,,2006-01-01,,"Women's Basketball Super League","Basketball positions","İstanbul Üniversitesi SK","First Women's Basketball League of Serbia"
"Abby Bishop",1988-11-29,"South Australia",,,2010-01-01,,"Women's National Basketball League","Basketball positions","Southside Flyers","WNBA Finals"
"Embla Kristínardóttir",1995-10-27,"Keflavík",,,2012-01-01,,"Úrvalsdeild kvenna (basketball)","Point guard","Skallagrímur women's basketball","Icelandic Women's Basketball Supercup"
"Axel Bouteille",1995-04-14,"France",2.0066,,,,"Liga ACB","Small forward","Baloncesto Málaga","LNB Pro A"
"Erik Braal",1971-05-16,"Werkendam",,,,,"BNXT League","Head coach","Heroes Den Bosch","2016–17 NBB Cup, Dutch Basketball League, Dutch Basketball Supercup, FIBA Europe Cup"
"Erik Braal",1971-05-16,"Netherlands",,,,,"BNXT League","Head coach","Heroes Den Bosch","2016–17 NBB Cup, Dutch Basketball League, Dutch Basketball Supercup, FIBA Europe Cup"
"Ettore Messina",1959-09-30,"Catania",,,,,"EuroLeague","Head coach","Olimpia Milano","Italian Basketball Hall of Fame"
"Ettore Messina",1959-09-30,"Catania",,,,,"Lega Basket","Head coach","Olimpia Milano","Lega Basket Serie A awards"
"Dragan Nikolić (coach)",1972-02-20,"Belgrade",,,,,"Basketball Championship of Bosnia and Herzegovina","Coach (basketball)","OKK Borac","Second Basketball League of Serbia"
"Augustí Julbe",1972-05-03,"Barcelona",,,,,"Basketball Africa League","Head coach","Al Ahly (basketball)","2010–11 ACB season, 2011 Copa del Rey de Baloncesto, Arab Club Basketball Championship, Liga ACB"
"Augustí Julbe",1972-05-03,"Barcelona",,,,,"Basketball Africa League","Head coach","Al Ahly (basketball)","2010 Supercopa de España de Baloncesto"
"Aleš Pipan",1959-05-24,"Socialist Federal Republic of Yugoslavia",,,,,"Premier A Slovenian Basketball League","Head coach","KK Šentjur","Polish Basketball Cup, Polish Basketball Supercup, Slovenian Basketball Cup"
"Sašo Filipovski",1974-09-06,"Socialist Republic of Slovenia",,,,,"Basketball Bundesliga","Coach (basketball)","S.Oliver Würzburg","2015–16 PLK season"
"Aldin Ayo",1977-10-15,"Sorsogon City",,,,,"Maharlika Pilipinas Basketball League","Head coach","Bicol Volcanoes","NCAA Season 75, NCAA Season 91, UAAP Season 79"
"QJ Peterson",1994-10-12,"Frederick, Maryland",1.8288,83008.8,2017-01-01,,"Basketbol Süper Ligi","Point guard","Gaziantep Basketbol","Basketligaen Most Valuable Player, Big South Conference, Southern Conference, Ukrainian Basketball SuperLeague"
"Avery Bradley",1990-11-26,"Tacoma, Washington",1.905,81648.0,2010-01-01,,"National Basketball Association","Shooting guard","Los Angeles Lakers","Big 12 Conference, List of NBA champions, McDonald's All-American Game, NBA All-Defensive Team, Parade All-America Boys Basketball Team"
"Þórir Þorbjarnarson",1998-05-26,"Akureyri",,91500.0,2014-01-01,,"Dutch Basketball League","Shooting guard","Landstede Hammers","Icelandic Men's Basketball Supercup, Úrvalsdeild Men's Young Player of the Year, Úrvalsdeild karla (basketball)"
"Erjon Kastrati",1994-12-30,"Pristina",,91000.0,2011-01-01,,"Kosovo Basketball Superleague","Shooting guard","KB Ylli","2013–14 Slovenian Basketball League, 2017–18 Slovenian Basketball League, Liga Unike, Premier A Slovenian Basketball League"
"Alen Hodžić",1992-08-11,"Slovenia",,82000.0,2008-01-01,,"ABA League, EuroCup Basketball","Shooting guard","KK Cedevita Olimpija","2020–21 Slovenian Basketball League, ABA League Second Division, Premier A Slovenian Basketball League, Slovenian Basketball Cup"
"Alen Hodžić",1992-08-11,"Slovenia",,82000.0,2008-01-01,,"Premier A Slovenian Basketball League","Shooting guard","KK Cedevita Olimpija","2020–21 Slovenian Basketball League, ABA League Second Division, Premier A Slovenian Basketball League, Slovenian Basketball Cup"
"Sander Hollanders",2001-09-13,"Kerkrade",,,2017-01-01,,"Dutch Basketball League","Shooting guard","BAL (basketball club)","Basketball Cup (Netherlands)"
"Alina Iagupova",1992-02-09,"Dnipro",1.8542,,,,"Women's Basketball Super League","Shooting guard","Fenerbahçe S.K. (women's basketball)","Turkish Women's Basketball Presidential Cup, Women's Basketball Super League"
"Željko Pavličević",1951-03-26,"Zagreb",,,1969-01-01,1975-01-01,"ASEAN Basketball League","Coach (basketball)","Eastern Sports Club (basketball)","Greek Basketball Cup"
"Željko Pavličević",1951-03-26,"Socialist Republic of Croatia",,,1969-01-01,1975-01-01,"ASEAN Basketball League","Coach (basketball)","Eastern Sports Club (basketball)","Greek Basketball Cup"
"Eugene German",1997-12-02,"Gary, Indiana",1.8288,83916.0,2021-01-01,,"Basketbol Süper Ligi","Point guard","Merkezefendi Belediyesi Denizli Basket","Mid-American Conference"
"Austin Luke",1994-10-27,"Rowlett, Texas",1.905,90720.0,2018-01-01,,"BNXT League","Point guard","Donar (basketball club)","List of Dutch Basketball League season assists leaders, Ohio Valley Conference"
"Eric Moreland",1991-12-24,"Houston",2.1082,108864.0,2014-01-01,,"Chinese Basketball Association","Center (basketball), Power forward (basketball)","Liaoning Flying Leopards","All-NBA G League Team, List of NBA champions, NBA Development League All-Star Game"
"Dmitry Kulagin",1992-07-01,"Moscow",,89000.0,2009-01-01,,"EuroLeague","Point guard","BC Zenit Saint Petersburg","Rosters of the champion and finalist teams of EuroLeague, VTB United League Young Player of the Year"
"Dušan Ristić",1995-11-27,"Serbia and Montenegro",,112000.0,2012-01-01,,"Liga ACB","Center (basketball)","Baloncesto Fuenlabrada","Kazakhstan Basketball Championship"
"Wani Swaka Lo Buluk",2001-06-09,"Sudan",,88000.0,2017-01-01,,"National Basketball League (Australia)","Small forward","Sydney Kings","List of NBL champions"
"Dwayne Evans (basketball)",1992-01-24,"Bolingbrook, Illinois",,104000.0,2015-01-01,,"B.League","Power forward (basketball)","Ryukyu Golden Kings","Atlantic 10 Men's Basketball Tournament"
"Dušan Katnić",1989-03-03,"Užice",,86000.0,2005-01-01,,"Second Basketball League of Serbia","Point guard","KK Klik","Macedonian First League (basketball), Mirza Delibašić Cup"
"Ąžuolas Tubelis",2002-03-22,"Lithuania men's national under-16 and under-17 basketball team",,111000.0,2018-01-01,,"Pac-12 Conference","Power forward (basketball)","Arizona Wildcats men's basketball","Pac-12 Conference"
"Sead Šehović",1989-08-22,"Socialist Federal Republic of Yugoslavia",,95000.0,2006-01-01,,"Prva A Liga","Small forward","KK Mornar Bar","North Macedonian Basketball Cup"
"Sead Šehović",1989-08-22,"Socialist Republic of Montenegro",,95000.0,2006-01-01,,"ABA League, Prva A Liga","Small forward","KK Mornar Bar","Macedonian First League (basketball), North Macedonian Basketball Cup"
"Axel Kárason",1983-02-11,"Iceland",,98000.0,2001-01-01,,"Úrvalsdeild karla (basketball)","Small forward","Tindastóll men's basketball","Icelandic Men's Basketball Cup"
"Abby Bishop",1988-11-29,"Booleroo Centre",,,2010-01-01,,"Women's National Basketball League","Basketball positions, Center (basketball)","Southside Flyers","All-WNBL Team"
"Avi Ben-Chimol",1985-05-22,"Israel",,,2003-01-01,,"Israeli Basketball Premier League","Point guard","Maccabi Haifa B.C.","Rosters of the champion and finalist teams of EuroLeague"
"Sebas Saiz",1994-07-15,"Madrid",,,2017-01-01,,"B.League","Center (basketball)","Alvark Tokyo","Southeastern Conference"
"Aleksandar Kostoski",1988-03-05,"Socialist Republic of Macedonia",,,2006-01-01,,"Macedonian First League (basketball)","Point guard","KK TFT","Macedonian First League (basketball)"
"Abby Bishop",1988-11-29,"South Australia",,,2010-01-01,,"Women's National Basketball League","Basketball positions, Center (basketball)","Southside Flyers","All-WNBL Team"
"Sara Rún Hinriksdóttir",1996-08-14,"Iceland",,,2011-01-01,,"Liga Națională (women's basketball)","Basketball positions","CS Phoenix Constanța","Icelandic Women's Basketball Cup"
"Embla Kristínardóttir",1995-10-27,"Keflavík",,,2012-01-01,,"Úrvalsdeild kvenna (basketball)","Point guard","Skallagrímur women's basketball","Icelandic Women's Basketball Cup"
"Quinton Crawford",1990-09-18,"Old Bridge Township, New Jersey",1.8796,90720.0,,,"National Basketball Association","Basketball positions","Los Angeles Lakers","List of NBA champions"
"Aliyah Boston",2001-12-11,"Saint Thomas, U.S. Virgin Islands",1.9558,,,,"Southeastern Conference","Power forward (basketball)","South Carolina Gamecocks women's basketball","WBCA Freshman of the Year"
"Alexander Ermolinskij",1959-11-11,"Vologda",2.0828,,,,"Russian Women's Basketball Premier League","Center (basketball)","Nadezhda Orenburg","Icelandic Men's Basketball Cup, Magyar Kupa (men's basketball)"
"Aleksandar Džikić",1971-03-23,"Socialist Federal Republic of Yugoslavia",,,,,"Prva A Liga","Coach (basketball)","KK Budućnost","Slovenian Basketball Supercup"
"Aleksander Sekulić",1978-02-24,"Socialist Federal Republic of Yugoslavia",,,,,"Basketball Champions League","Coach (basketball)","Basketball Nymburk","Slovenian Basketball Supercup"
"Sašo Filipovski",1974-09-06,"Socialist Republic of Slovenia",,,,,"Basketball Bundesliga","Coach (basketball)","S.Oliver Würzburg","Slovenian Basketball Supercup"
"A. J. Walton",1990-12-28,"Little Rock, Arkansas",1.8542,83916.0,2013-01-01,,"Kosovo Basketball Superleague","Shooting guard","KB Peja","Mr. Basketball of Arkansas, PLK Best Defender"
"Alexey Shved",1988-12-16,"Russian Soviet Federative Socialist Republic",,86000.0,2006-01-01,,"VTB United League","Shooting guard","PBC CSKA Moscow","Russian Professional Basketball Championship"
"Elly Randriamampionona",1997-07-20,"Mahajanga",,78000.0,2014-01-01,,"Basketball Africa League","Shooting guard","GNBC (basketball)","Malagasy N1A"
"Aleksandar Ponjavić",1991-03-03,"Socialist Federal Republic of Yugoslavia",,86000.0,2009-01-01,,"Basketball Championship of Bosnia and Herzegovina","Shooting guard","OKK Borac","Mirza Delibašić Cup"
"Sead Šehović",1989-08-22,"Socialist Federal Republic of Yugoslavia",,95000.0,2006-01-01,,"ABA League, Prva A Liga","Shooting guard","KK Mornar Bar","Macedonian First League (basketball), North Macedonian Basketball Cup"
"Alexey Shved",1988-12-16,"Soviet Union",,86000.0,2006-01-01,,"VTB United League","Shooting guard","PBC CSKA Moscow","Russian Gold Basket Awards, Russian Professional Basketball League Awards"
"Aleksandar Ponjavić",1991-03-03,"Gornji Milanovac",,86000.0,2009-01-01,,"Basketball Championship of Bosnia and Herzegovina","Shooting guard","OKK Borac","Mirza Delibašić Cup"
"Dirk Nowitzki",1978-06-19,"West Germany",2.1336,111132.0,1994-01-01,2019-01-01,"National Basketball Association","Center (basketball), Power forward (basketball)","Dallas Mavericks","50–40–90 club, All-NBA Team, Basketball Bundesliga Most Valuable Player, Basketball Bundesliga Top Scorer, Dallas Mavericks, EuroBasket 2005, EuroBasket 2007, Euroscar, FIBA Basketball World Cup Most Valuable Player, FIBA EuroBasket MVP, FIBA EuroBasket Top Scorer, FIBA Europe Men's Player of the Year Award, German Sportspersonality of the Year, Laureus Lifetime Achievement Award, List of NBA All-Stars, List of NBA champions, Mr. Europa, NBA 75th Anniversary Team, NBA Finals Most Valuable Player Award, NBA Most Valuable Player Award, Silbernes Lorbeerblatt, Three-Point Contest, Twyman–Stokes Teammate of the Year Award"
"Lionel Chalmers",1980-11-10,"Albany, New York",1.8288,81648.0,2004-01-01,2015-01-01,"National Basketball Association","Coach (sport), Point guard","Orlando Magic","National Basketball League (Bulgaria)"
"Dawn Staley",1970-05-04,"Philadelphia",1.6764,60782.4,1996-01-01,2006-01-01,"Southeastern Conference","Head coach, Point guard","South Carolina Gamecocks women's basketball","2005 WNBA season, 2015 NCAA Division I Women's Basketball Tournament, 2017 NCAA Division I Women's Basketball Tournament, 2021 NCAA Division I Women's Basketball Tournament, American Basketball League (1996–1998), Associated Press College Basketball Coach of the Year, Atlantic 10 Conference, Atlantic 10 Women's Basketball Tournament, Atlantic Coast Conference Women's Basketball Player of the Year, Honda Sports Award (basketball), NCAA Division I Women's Basketball Tournament, Naismith College Coach of the Year, Naismith College Player of the Year, SEC Women's Basketball Tournament, Southeastern Conference, USBWA Women's National Coach of the Year, USBWA Women's National Player of the Year, WBCA National Coach of the Year Award, WBCA Player of the Year, WNBA All-Decade Team, WNBA All-Star Game, WNBA's Top 15 Players of All Time"
"Blake Ahearn",1984-05-27,"St. Louis",1.8796,86184.0,2007-01-01,2015-01-01,"National Basketball Association","Coach (sport), Point guard","Memphis Grizzlies","List of NBA G League champions, Missouri Valley Conference, NBA G League, Ukrainian Basketball Cup, Ukrainian Basketball SuperLeague"
"Ahmad Nivins",1987-02-10,"Jersey City, New Jersey",2.0574,109771.0,2009-01-01,2017-01-01,"NBA G League","Power forward (basketball)","Lakeland Magic","Associated Press, Atlantic 10 Conference, Atlantic 10 Conference Men's Basketball Player of the Year, LNB Pro A, Robert V. Geasey Trophy"
"Eddie Casiano",1972-09-20,"Manhattan",1.905,90720.0,1988-01-01,2008-01-01,"Baloncesto Superior Nacional","Head coach, Point guard","Atléticos de San Germán","BSN Most Valuable Player Award, Baloncesto Superior Nacional, Liga Nacional de Baloncesto Profesional"
"Dimitrios Tsaldaris",1980-03-07,"Greece",1.9558,95256.0,2001-01-01,2018-01-01,"Greek A2 Basket League","Head coach, Shooting guard, Small forward","Olympiacos B.C. B Development Team","Greek Basket League Best Young Player, HEBA Greek All-Star Game"
"Dimitris Diamantidis",1980-05-06,"Greece",1.9558,88452.0,1999-01-01,2016-01-01,"EuroLeague, Greek Basket League","Basketball positions, General manager (basketball), Small forward","Panathinaikos B.C.","2005–06 Greek Basket League, 2007 Euroleague Final Four, 2009 Euroleague Final Four, 2010 FIBA World Championship, 2010–11 Euroleague, 2010–11 Greek Basket League, 2011 Euroleague Final Four, 2012–13 Greek Basket League, 2013–14 Euroleague, 2013–14 Greek Basket League, Acropolis International Basketball Tournament, All-EuroLeague Team, EuroLeague, EuroLeague Basketball 2000–10 All-Decade Team, EuroLeague Basketball 2010–20 All-Decade Team, EuroLeague Basketball Legend Award, EuroLeague Best Defender, EuroLeague Final Four MVP, EuroLeague MVP, EuroLeague career statistical leaders, EuroLeague records, EuroLeague season statistical leaders, Greek Basket League, Greek Basket League Best Defender, Greek Basket League Finals MVP, Greek Basket League MVP, Greek Basket League Most Popular Player, Greek Basket League Pentad, Greek Basket League career statistical leaders, Greek Basket League individual statistics, Greek Basketball Cup, Greek Basketball Cup MVP, Mr. Europa, PSAT Sports Awards, Panathinaikos B.C., Triple Crown (basketball)"
"Branko Milisavljević",1976-07-21,"Socialist Republic of Serbia",,84000.0,1996-01-01,2014-01-01,"ABA League Second Division, Prva A Liga","Point guard","KK Podgorica","First Federal Basketball League"
"Demond Greene",1979-06-15,"Fort Hood",,95000.0,1997-01-01,2014-01-01,"Basketball Bundesliga","Coach (basketball), Shooting guard","FC Bayern Munich (basketball)","BBL All-Star Game, BBL-Pokal, Basketball Bundesliga, Basketball Bundesliga Most Improved Player, FC Bayern Munich (basketball)"
"Brad Hill (basketball)",1986-11-19,"Hahndorf, South Australia",,90000.0,2004-01-01,2018-01-01,"National Basketball League (Australia)","Shooting guard, Small forward","Cairns Taipans","South East Australian Basketball League"
"Henrik Rödl",1969-03-04,"West Germany",2.0066,,1993-01-01,2004-01-01,"Basketbol Süper Ligi, EuroCup Basketball","Head coach, Shooting guard, Small forward","Türk Telekom B.K.","Alba Berlin, BBL-Pokal, Basketball Bundesliga, Basketball Bundesliga Most Valuable Player, FIBA Korać Cup, North Carolina Mr. Basketball"
"Henrik Rödl",1969-03-04,"Offenbach am Main",2.0066,,1993-01-01,2004-01-01,"Basketbol Süper Ligi","Head coach, Small forward","Türk Telekom B.K.","Alba Berlin, BBL-Pokal, Basketball Bundesliga, Basketball Bundesliga Most Valuable Player, FIBA Korać Cup, North Carolina Mr. Basketball"
"Henrik Rödl",1969-03-04,"Offenbach am Main",2.0066,,1993-01-01,2004-01-01,"Basketbol Süper Ligi","Head coach, Shooting guard","Türk Telekom B.K.","Alba Berlin, BBL-Pokal, Basketball Bundesliga, Basketball Bundesliga Most Valuable Player, FIBA Korać Cup, North Carolina Mr. Basketball"
"Dejan Radonjić",1970-02-02,"Podgorica",,,1990-01-01,2004-01-01,"EuroLeague","Coach (basketball)","KK Crvena zvezda","2014–15 ABA League, 2014–15 Radivoj Korać Cup, 2016–17 Radivoj Korać Cup, 2018–19 Basketball Bundesliga, 2020–21 ABA League First Division, 2020–21 Basketball League of Serbia, ABA League, Montenegrin Basketball Cup, Prva A Liga, Radivoj Korać Cup, Yugoslav Basketball Cup"
"Edward Morris (basketball)",1984-05-04,"Wichita, Kansas",2.032,106596.0,2007-01-01,,"B.League","Power forward (basketball)","Yokohama B-Corsairs","2010 MSBL season, B.League, Basketligaen, Mid-America Intercollegiate Athletics Association, NBL1 West"
"Dāvis Bertāns",1992-11-12,"Valmiera",2.0828,102060.0,2007-01-01,,"National Basketball Association","Power forward (basketball)","Dallas Mavericks","ABA League, Basketball League of Serbia, Radivoj Korać Cup, Slovenian Basketball Cup"
"Addison Spruill",1993-05-14,"The Bronx",1.9304,102060.0,2015-01-01,,"Austrian Basketball Bundesliga","Shooting guard, Small forward","Flyers Wels","Colonial Athletic Association"
"DeAndre' Bembry",1994-07-04,"Charlotte, North Carolina",1.9558,95256.0,2016-01-01,,"National Basketball Association","Shooting guard, Small forward","Milwaukee Bucks","Associated Press, Atlantic 10 Conference, Atlantic 10 Conference Men's Basketball Player of the Year, Robert V. Geasey Trophy"
"Derrick Jones Jr.",1997-02-15,"Chester, Pennsylvania",1.9812,95256.0,2016-01-01,,"National Basketball Association","Power forward (basketball), Small forward","Chicago Bulls","Mr. and Miss Pennsylvania Basketball, Slam Dunk Contest"
"Ege Arar",1996-09-02,"Seyhan",2.0828,104328.0,2014-01-01,,"Basketball Champions League, Basketbol Süper Ligi","Center (basketball), Power forward (basketball)","Galatasaray S.K. (men's basketball)","EuroCup Basketball"
"Abu Tratter",1993-01-09,"Siniloan",1.9558,104782.0,2019-01-01,,"Philippine Basketball Association","Center (basketball), Power forward (basketball)","Alaska Aces (PBA)","2016 Filoil Flying V Preseason Premier Cup, Filoil Flying V Preseason Premier Cup, PBA All-Rookie Team, University Athletic Association of the Philippines"
"Dejan Kravić",1990-09-09,"Socialist Federal Republic of Yugoslavia",2.1336,110678.0,2014-01-01,,"Basketball Champions League, Liga ACB","Center (basketball)","Baloncesto Málaga","Basketball Champions League, Basketball Cup (Netherlands), DBL All-Star Gala, Dutch Basketball Supercup, FIBA Intercontinental Cup"
"Boban Marjanović",1988-08-15,"Socialist Republic of Serbia",2.2098,131544.0,2006-01-01,,"National Basketball Association","Center (basketball)","Dallas Mavericks","2014–15 ABA League, 2014–15 Radivoj Korać Cup, ABA League, ABA League Finals MVP, ABA League Ideal Starting Five, All-EuroLeague Team, BLS Super League MVP, Baltic Basketball League, Basketball League of Serbia, LKF Cup, LKL All-Star Game, Lietuvos krepšinio lyga, Radivoj Korać Cup"
